University,Department,Graduation_Year,Monthly_Earning_PKR,Field_Match,Job_Type
University of Okara,BS Data Science,2018,150100,Yes,High-standard Job
University of Okara,BS Data Science,2018,77348,Yes,High-standard Job
University of Okara,BS Data Science,2018,140637,No,Business Owner
University of Okara,BS Data Science,2018,164679,Yes,High-standard Job
University of Okara,BS Data Science,2018,82638,No,Freelancer
University of Okara,BS Data Science,2018,106006,Yes,High-standard Job
University of Okara,BS Data Science,2018,120782,No,Freelancer
University of Okara,BS Data Science,2018,74687,No,High-standard Job
University of Okara,BS Data Science,2018,116020,No,High-standard Job
University of Okara,BS Data Science,2018,296606,Yes,High-standard Job
University of Okara,BS Data Science,2018,83090,Yes,Low-standard Job
University of Okara,BS Data Science,2018,92134,Yes,High-standard Job
University of Okara,BS Data Science,2018,118316,Yes,High-standard Job
University of Okara,BS Data Science,2018,51489,No,Business Owner
University of Okara,BS Data Science,2018,24131,Yes,Freelancer
University of Okara,BS Data Science,2018,8000,Yes,Unemployed
University of Okara,BS Data Science,2018,120338,Yes,High-standard Job
University of Okara,BS Data Science,2018,66963,No,High-standard Job
University of Okara,BS Data Science,2018,35685,Yes,Low-standard Job
University of Okara,BS Data Science,2018,135579,Yes,Freelancer
University of Okara,BS Data Science,2018,35379,No,Higher Studies
University of Okara,BS Data Science,2018,120279,Yes,Low-standard Job
University of Okara,BS Data Science,2018,74535,Yes,High-standard Job
University of Okara,BS Data Science,2018,115531,No,Freelancer
University of Okara,BS Data Science,2019,87748,No,High-standard Job
University of Okara,BS Data Science,2019,46445,Yes,Freelancer
University of Okara,BS Data Science,2019,140545,No,High-standard Job
University of Okara,BS Data Science,2019,83179,No,High-standard Job
University of Okara,BS Data Science,2019,101678,Yes,High-standard Job
University of Okara,BS Data Science,2019,117936,Yes,High-standard Job
University of Okara,BS Data Science,2019,184180,No,Business Owner
University of Okara,BS Data Science,2019,84483,No,Higher Studies
University of Okara,BS Data Science,2019,87204,No,High-standard Job
University of Okara,BS Data Science,2019,47657,No,Freelancer
University of Okara,BS Data Science,2019,39830,No,Freelancer
University of Okara,BS Data Science,2019,27104,Yes,Higher Studies
University of Okara,BS Data Science,2019,109299,No,High-standard Job
University of Okara,BS Data Science,2019,101428,Yes,Business Owner
University of Okara,BS Data Science,2019,74440,Yes,High-standard Job
University of Okara,BS Data Science,2019,35630,No,Government Job
University of Okara,BS Data Science,2019,123984,Yes,High-standard Job
University of Okara,BS Data Science,2019,90237,No,High-standard Job
University of Okara,BS Data Science,2019,149995,Yes,High-standard Job
University of Okara,BS Data Science,2019,109317,No,Government Job
University of Okara,BS Data Science,2019,81260,No,Freelancer
University of Okara,BS Data Science,2019,136546,Yes,Freelancer
University of Okara,BS Data Science,2020,129015,No,Business Owner
University of Okara,BS Data Science,2020,67036,No,High-standard Job
University of Okara,BS Data Science,2020,88132,Yes,Freelancer
